ssg,page_count,iteration,build_time_ms,peak_memory_kb,cpu_percent,status
hugo,10,1,468,0,0,success
hugo,10,2,375,0,0,success
hugo,10,3,356,0,0,success
hugo,100,1,1042,0,0,success
hugo,100,2,1034,0,0,success
hugo,100,3,1050,0,0,success
hugo,1000,1,7829,0,0,success
hugo,1000,2,7368,0,0,success
hugo,1000,3,7974,0,0,success
hugo,5000,1,38141,0,0,success
hugo,5000,2,39610,0,0,success
hugo,5000,3,36881,0,0,success
zola,10,1,318,0,0,success
zola,10,2,316,0,0,success
zola,10,3,308,0,0,success
zola,100,1,638,0,0,success
zola,100,2,707,0,0,success
zola,100,3,691,0,0,success
zola,1000,1,3979,0,0,success
zola,1000,2,4246,0,0,success
zola,1000,3,4658,0,0,success
zola,5000,1,19184,0,0,success
zola,5000,2,19938,0,0,success
zola,5000,3,20907,0,0,success
jekyll,10,1,1224,0,0,success
jekyll,10,2,659,0,0,success
jekyll,10,3,699,0,0,success
jekyll,100,1,1996,0,0,success
jekyll,100,2,1356,0,0,success
jekyll,100,3,1341,0,0,success
jekyll,1000,1,10142,0,0,success
jekyll,1000,2,8650,0,0,success
jekyll,1000,3,8524,0,0,success
jekyll,5000,1,47757,0,0,success
jekyll,5000,2,41191,0,0,success
jekyll,5000,3,40536,0,0,success
hwaro,10,1,309,0,0,success
hwaro,10,2,304,0,0,success
hwaro,10,3,272,0,0,success
hwaro,100,1,773,0,0,success
hwaro,100,2,778,0,0,success
hwaro,100,3,800,0,0,success
hwaro,1000,1,6150,0,0,success
hwaro,1000,2,5927,0,0,success
hwaro,1000,3,5936,0,0,success
hwaro,5000,1,27157,0,0,success
hwaro,5000,2,29878,0,0,success
hwaro,5000,3,29426,0,0,success
